0,1,2,3,4
34200.017459617,2239500,100,2231800,100
34200.18960767,2239500,100,2238100,21
34200.190226476,2239500,100,2237500,100
34200.190226476,2239500,100,2237500,74
34200.372779672,2239500,100,2237500,74
34200.375671205,2239500,100,2237500,74
34200.383971366,2239500,100,2237500,74
34200.38581571,2239500,100,2237500,74
34200.387205153,2239500,100,2237500,74
34200.388463172,2239500,100,2237500,74
34200.39141294,2239600,306,2237500,74
34200.39141294,2239600,286,2237500,74
34200.39141294,2239900,100,2237500,74
34200.393480733,2240000,1451,2237500,74
34200.394405007,2239900,100,2237500,74
34200.398456977,2239900,100,2237500,74
34200.398595993,2239900,100,2237500,74
34200.400328982,2239900,100,2237500,74
34200.401529352,2239900,100,2237500,74
34200.401529352,2239900,10,2237500,74
34200.401923745,2239900,60,2237500,74
34200.403006021,2239900,50,2237500,74
34200.403006021,2240000,1451,2237500,74
34200.403006021,2240000,1438,2237500,74
34200.403006021,2240000,1411,2237500,74
34200.407876509,2240000,1338,2237500,74
34200.407876509,2240000,1318,2237500,74
34200.407876509,2240000,1314,2237500,74
34200.407876509,2240000,1311,2237500,74
34200.411052662,2240000,1304,2237500,74
34200.411052662,2240000,1254,2237500,74
34200.411052662,2240000,1211,2237500,74
34200.412063728,2240000,1154,2237500,74
34200.412063728,2240000,1148,2237500,74
34200.412063728,2240000,1125,2237500,74
34200.412063728,2240000,1119,2237500,74
34200.412063728,2240000,1065,2237500,74
34200.412063728,2240000,1011,2237500,74
34200.417197959,2240000,996,2237500,74
34200.417197959,2240000,920,2237500,74
34200.417197959,2240000,900,2237500,74
34200.417197959,2240000,885,2237500,74
34200.417197959,2240000,875,2237500,74
34200.417197959,2240000,850,2237500,74
34200.417197959,2240000,750,2237500,74
34200.417197959,2240000,700,2237500,74
34200.417197959,2240000,517,2237500,74
34200.419808842,2240000,417,2237500,74
34200.53842474,2240000,217,2237500,74
34200.553743035,2240000,217,2237500,74
34200.567936862,2240000,200,2237500,74
34200.567936862,2240000,100,2237500,74
34200.567936862,2242400,20,2237500,74
34200.567936862,2242400,20,2237500,74
34200.568240371,2240000,100,2237500,74
34200.570408833,2242400,20,2237500,74
34200.570408833,2242400,20,2237500,74
34200.570408833,2242400,20,2237500,74
34200.570714327,2240000,100,2237500,74
34200.574028141,2242400,20,2237500,74
34200.574401291,2240000,100,2237500,74
34200.631353841,2239500,100,2237500,74
34200.771525998,2240000,100,2237500,74
34200.771912718,2239500,75,2237500,74
34200.873785004,2239500,75,2238400,100
34200.874913031,2239500,75,2237500,74
34200.881781052,2239500,75,2238400,100
34200.891497671,2239500,60,2238400,100
34201.290951337,2238600,100,2238400,100
34201.291410923,2239500,60,2238400,100
34201.371436281,2240000,100,2238400,100
34201.395343299,2242400,20,2238400,100
34201.395343299,2242400,20,2238400,100
34202.012069923,2242400,20,2238400,100
34202.012780077,2242400,20,2238400,100
34202.028280054,2242400,20,2238400,100
34202.279048607,2242400,20,2237900,100
34202.279048607,2242400,20,2238900,100
34203.87899164,2242000,100,2238900,100
